$AvgLine,$AvgLineComment,$CountSemicolon,$SumCyclomatic,$SumCyclomaticModified,$AvgCyclomaticModified,$MaxCyclomatic,$CountLineComment,$AvgEssential,$RatioCommentToCode,$SumEssential,$CountStmt,$>Defects
82.0,7.0,719.0,221.0,197.0,11.0,51.0,328.0,4.0,0.28,81.0,916.0,T
0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,F
54.0,1.0,19001.0,256.0,217.0,7.0,45.0,65.0,4.0,0.04,128.0,1049.0,T
37.0,5.0,397.0,134.0,122.0,5.0,25.0,236.0,2.0,0.32,63.0,526.0,F
21.0,3.0,20.0,9.0,10.0,2.0,4.0,40.0,1.0,0.73,10.0,30.0,F
3.0,0.0,0.0,1.0,1.0,1.0,1.0,17.0,1.0,5.67,1.0,1.0,F
4.0,0.0,2.0,1.0,1.0,1.0,1.0,15.0,1.0,3.0,1.0,3.0,F
17.0,0.0,71.0,13.0,13.0,2.0,3.0,17.0,1.0,0.15,9.0,84.0,F
19.0,5.0,85.0,29.0,29.0,3.0,8.0,98.0,1.0,0.61,18.0,114.0,F
13.0,1.0,97.0,38.0,38.0,2.0,7.0,42.0,1.0,0.21,29.0,135.0,F
44.0,9.0,94.0,30.0,28.0,5.0,15.0,89.0,3.0,0.48,19.0,124.0,T
47.0,9.0,179.0,70.0,70.0,6.0,23.0,135.0,1.0,0.35,21.0,243.0,T
58.0,18.0,23.0,5.0,5.0,5.0,5.0,51.0,1.0,1.42,1.0,28.0,F
0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,T
48.0,0.0,81.0,37.0,37.0,12.0,16.0,29.0,7.0,0.21,22.0,111.0,F
32.0,4.0,632.0,262.0,251.0,4.0,42.0,320.0,2.0,0.24,134.0,868.0,T
44.0,12.0,36.0,11.0,11.0,4.0,7.0,60.0,3.0,0.85,9.0,47.0,T
36.0,4.0,1312.0,550.0,550.0,5.0,36.0,625.0,3.0,0.21,342.0,1828.0,T
